Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C4",402,4,1uF,C52923
"C11, C12, C13, C14, C15, C16, C17, C3, C5, C6",402,10,100nF,C1525
"C7, C8",402,2,22pF,C1555
C9,402,1,10uF,C15525
"CH1, CH10, CH11, CH12, CH13, CH14, CH15, CH16, CH17, CH18, CH19, CH2, CH20, CH21, CH3, CH4, CH5, CH6, CH7, CH8, CH9",SW_choc_v1_HS_1u,21,choc_SW_HS,
"D1, D2",D_SOD-123,2,Schottky Diode,C8598
D3,805,1,GREEN,C84256
F1,1206,1,500 mA,C70076
J1,TYPE-C_24P_QCHT,1,USB C Connector,C456013
R1,603,1,1M,C25190
"R10, R11",402,2,1k,C11702
"R2, R3",402,2,5.1k,C25744
R4,402,1,470,C25117
R5,603,1,5.6k,C23189
R6,603,1,10k,C25804
R7,402,1,10k,C25744
"R8, R9",603,2,27,C25190
U1,SOT-23,1,XC6206,C5446
U2,SOT-23-6,1,USBLC6-2SC6,C5250994
U3,RP2040-QFN-56,1,RP2040,C2040
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
SW1,SW_SPST_SKQG_WithStem,1,Boot,C318884
